x,y,theta
5.0,5.0,45.0
5.0,5.02020202020202,45.11551552798743
5.0,5.040404040404041,45.23056527258913
5.0,5.0606060606060606,45.34515112316413
5.0,5.08080808080808,45.459274968709295
5.0,5.101010101010101,45.57293869768349
5.0,5.121212121212121,45.68614419783523
5.0,5.141414141414142,45.79889335603405
5.0,5.161616161616162,45.91118805810516
5.0,5.181818181818182,46.02303018866783
5.0,5.202020202020202,46.13442163097701
5.0,5.222222222222222,46.24536426676835
5.0,5.242424242424242,46.35585997610666
5.0,5.262626262626263,46.46591063723756
5.0,5.282828282828283,46.57551812644236
5.0,5.303030303030303,46.68468431789629
5.0,5.3232323232323235,46.79341108352966
5.0,5.343434343434343,46.90170029289233
5.0,5.363636363636363,47.009553813021135
5.0,5.383838383838384,47.11697350831043
5.0,5.404040404040404,47.223961240385485
5.0,5.424242424242424,47.33051886797893
5.0,5.444444444444445,47.43664824681014
5.0,5.4646464646464645,47.54235122946723
5.0,5.484848484848484,47.64762966529222
5.0,5.505050505050505,47.75248540026868
5.0,5.525252525252525,47.85692027691224
5.0,5.545454545454546,47.96093613416375
5.0,5.565656565656566,48.064534807285135
5.0,5.585858585858586,48.16771812775777
5.0,5.606060606060606,48.27048792318357
5.0,5.626262626262626,48.3728460171884
5.0,5.646464646464646,48.47479422932819
5.0,5.666666666666667,48.57633437499735
5.0,5.686868686868687,48.677468265339684
5.0,5.707070707070708,48.77819770716159
5.0,5.7272727272727275,48.87852450284771
5.0,5.747474747474747,48.97845045027877
5.0,5.767676767676768,49.077977342751744
5.0,5.787878787878788,49.177106968902216
5.0,5.808080808080808,49.275841112628946
5.0,5.828282828282829,49.37418155302058
5.0,5.848484848484849,49.47213006428441
5.0,5.8686868686868685,49.5696884156774
5.0,5.888888888888889,49.666858371439
5.0,5.909090909090909,49.76364169072618
5.0,5.929292929292929,49.860040127550334
5.0,5.94949494949495,49.95605543071616
5.0,5.96969696969697,50.051689343762426
5.0,5.98989898989899,50.14694360490465
5.0,6.01010101010101,50.241819946979554
5.0,6.03030303030303,50.33632009739144
5.0,6.05050505050505,50.43044577806022
5.0,6.070707070707071,50.52419870537122
5.0,6.090909090909091,50.617580590126835
5.0,6.111111111111111,50.710593137499636
5.0,6.1313131313131315,50.803238046987374
5.0,6.151515151515151,50.895517012369346
5.0,6.171717171717171,50.98743172166464
5.0,6.191919191919192,51.078983857091714
5.0,6.212121212121212,51.170175095029606
5.0,6.232323232323233,51.2610071059807
5.0,6.252525252525253,51.35148155453485
5.0,6.272727272727273,51.441600099335034
5.0,6.292929292929293,51.53136439304446
5.0,6.313131313131313,51.620776082314975
5.0,6.333333333333334,51.709836807756936
5.0,6.353535353535354,51.79854820391034
5.0,6.373737373737374,51.886911899217374
5.0,6.3939393939393945,51.974929515996145
5.0,6.414141414141414,52.06260267041578
5.0,6.434343434343434,52.149932972472655
5.0,6.454545454545455,52.236922025968006
5.0,6.474747474747475,52.32357142848653
5.0,6.494949494949495,52.40988277137632
5.0,6.515151515151516,52.49585763972986
5.0,6.5353535353535355,52.581497612366206
5.0,6.555555555555555,52.66680426181418
5.0,6.575757575757576,52.75177915429671
5.0,6.595959595959596,52.83642384971624
5.0,6.616161616161616,52.92073990164107
5.0,6.636363636363637,53.00472885729286
5.0,6.656565656565657,53.08839225753496
5.0,6.6767676767676765,53.1717316368619
5.0,6.696969696969697,53.254748523389594
5.0,6.717171717171717,53.33744443884673
5.0,6.737373737373737,53.41982089856684
5.0,6.757575757575758,53.50187941148145
5.0,6.777777777777778,53.583621480113955
5.0,6.7979797979797985,53.665048600574416
5.0,6.818181818181818,53.74616226255522
5.0,6.838383838383838,53.82696394932744
5.0,6.858585858585859,53.90745513773819
5.0,6.878787878787879,53.987637298208476
5.0,6.8989898989899,54.06751189473212
5.0,6.91919191919192,54.14708038487515
5.0,6.9393939393939394,54.22634421977618
5.0,6.95959595959596,54.305304844147244
5.0,6.97979797979798,54.383963696275515
5.0,7.0,54.46232220802562
6.0,5.0,39.8055710922652
5.98989898989899,5.01010101010101,39.9099521584109
5.97979797979798,5.02020202020202,40.0143671117159
5.96969696969697,5.03030303030303,40.11881527480964
5.959595959595959,5.040404040404041,40.22329596900775
5.94949494949495,5.05050505050505,40.327808514337605
5.9393939393939394,5.0606060606060606,40.432352229564174
5.929292929292929,5.070707070707071,40.536926432215786
5.91919191919192,5.08080808080808,40.64153043861022
5.909090909090909,5.090909090909091,40.74616356388081
5.898989898989899,5.101010101010101,40.85082512200263
5.888888888888889,5.111111111111111,40.9555144258189
5.878787878787879,5.121212121212121,41.06023078706742
5.8686868686868685,5.1313131313131315,41.164973516407144
5.858585858585858,5.141414141414142,41.269741923444876
5.848484848484849,5.151515151515151,41.374535316762
5.838383838383838,5.161616161616162,41.47935300394147
5.828282828282828,5.171717171717172,41.58419429159468
5.818181818181818,5.181818181818182,41.68905848538856
5.808080808080808,5.191919191919192,41.793944890072844
5.797979797979798,5.202020202020202,41.898852809507254
5.787878787878788,5.212121212121212,42.00378154668882
5.777777777777778,5.222222222222222,42.10873040377944
5.767676767676767,5.232323232323233,42.2136986821333
5.757575757575758,5.242424242424242,42.31868568232451
5.747474747474747,5.252525252525253,42.4236907041748
5.737373737373737,5.262626262626263,42.52871304678128
5.7272727272727275,5.2727272727272725,42.633752008544214
5.717171717171717,5.282828282828283,42.73880688719502
5.707070707070707,5.292929292929293,42.84387697982413
5.696969696969697,5.303030303030303,42.94896158290911
5.686868686868687,5.313131313131313,43.0540599923427
5.6767676767676765,5.3232323232323235,43.159171503460996
